Country,latitude,longitude,isCTR,Multilaterals,BSEC,ConfOnDisArm,CouncEur,OSCE,G20,EconCoopOrg,TurkicCouncil,ACD,D8,NATO
AFG,34.5166902863,69.1832600493,0,2,,,,,,1,,1,,
AND,42.5000014435,1.5164859605,0,2,,,1,1,,,,,,
ARG,-34.6025016085,-58.3975313737,0,2,,1,,,1,,,,,
AUS,-35.2830285454,149.129026244,0,2,,1,,,1,,,,,
BLR,53.8999774364,27.5666271553,0,2,,1,,1,,,,,,
BRA,-15.7833402315,-47.9160522884,0,2,,1,,,1,,,,,
HRV,45.8000067333,15.9999946682,0,2,,,1,,,,,,,1
CYP,35.1666764517,33.3666348864,0,2,,,1,1,,,,,,
CZE,50.0833370149,14.4659797757,0,2,,,1,,,,,,,1
DNK,55.6785641904,12.5634857473,0,2,,,,1,,,,,,1
EGY,30.0499603465,31.2499682197,0,2,,1,,,,,,,1,
FIN,60.175563374,24.9341263415,0,2,,1,,1,,,,,,
LIE,47.1337237743,9.5166694729,0,2,,,1,1,,,,,,
MKD,42.0000061229,21.4334614651,0,2,,,1,,,,,,,1
MLT,35.8997324819,14.5147106513,0,2,,,1,1,,,,,,
MEX,19.4424424428,-99.1309882017,0,2,,1,,,1,,,,,
MCO,43.7396456879,7.4069131735,0,2,,,1,1,,,,,,
MNG,47.9166733999,106.916615762,0,2,,1,,,,,,1,,
MNE,42.4659725129,19.2663069241,0,2,,,1,,,,,,,1
MMR,19.7665570261,96.1186185292,0,2,,1,,,,,,1,,
NGA,9.0833331491,7.5333280016,0,2,,1,,,,,,,1,
SMR,43.9171500845,12.4666702867,0,2,,,1,1,,,,,,
SAU,24.6408331492,46.7727416573,0,2,,,,,1,,,1,,
ZAF,-33.9200109672,18.4349881578,0,2,,1,,,1,,,,,
LKA,6.9319657582,79.8577506093,0,2,,1,,,,,,1,,
TJK,38.5600352163,68.7738793527,0,2,,,,,,1,,1,,
VNM,21.0333272491,105.8500142,0,2,,1,,,,,,1,,
ARM,40.1811507355,44.5135513904,0,3,1,,1,1,,,,,,
AUT,48.2000152782,16.3666389554,0,3,,1,1,1,,,,,,
BGD,23.7230597117,90.4085794667,0,3,,1,,,,,,1,1,
CHN,39.9288922313,116.388285684,0,3,,1,,,1,,,1,,
EST,59.4338773795,24.7280407295,0,3,,,1,1,,,,,,1
GEO,41.7250099885,44.7907954496,0,3,1,,1,1,,,,,,
ISL,64.1500236197,-21.9500144872,0,3,,,1,1,,,,,,1
IND,28.6000230092,77.1999800201,0,3,,1,,,1,,,1,,
IRL,53.333061136,-6.2489056818,0,3,,1,1,1,,,,,,
JPN,35.6850169058,139.751407429,0,3,,1,,,1,,,1,,
LVA,56.9500238232,24.0999653714,0,3,,,1,1,,,,,,1
LTU,54.6833663118,25.3166352933,0,3,,,1,1,,,,,,1
LUX,49.6116603791,6.1300028062,0,3,,,1,1,,,,,,1
MYS,3.1666658721,101.699983275,0,3,,1,,,,,,1,1,
MDA,47.0050236197,28.8577111397,0,3,1,,1,1,,,,,,
PRT,38.7227228779,-9.1448663055,0,3,,,1,1,,,,,,1
SRB,44.8186454458,20.4679906806,0,3,1,,1,1,,,,,,
SVK,48.15001833,17.1169807522,0,3,,1,1,,,,,,,1
SVN,46.0552883088,14.5149690335,0,3,,,1,1,,,,,,1
KOR,37.5663490998,126.999730997,0,3,,1,,,1,,,1,,
SWE,59.3507599543,18.0973347328,0,3,,1,1,1,,,,,,
CHE,46.9166827587,7.4669754625,0,3,,1,1,1,,,,,,
ALB,41.3275407095,19.8188830146,0,4,1,,1,1,,,,,,1
BEL,50.8333170767,4.3333166083,0,4,,1,1,1,,,,,,1
CAN,45.4166967967,-75.7000153012,0,4,,1,,1,1,,,,,1
GRC,37.9833262319,23.7333210843,0,4,1,,1,1,,,,,,1
HUN,47.5000063264,19.0833206774,0,4,,1,1,1,,,,,,1
IDN,-6.1744177054,106.829437621,0,4,,1,,,1,,,1,1,
IRN,35.6719427684,51.4243440336,0,4,,1,,,,1,,1,1,
KGZ,42.8730794465,74.5852042225,0,4,,,,1,,1,1,1,,
NLD,52.3499686881,4.916640176,0,4,,1,1,1,,,,,,1
NOR,59.9166902864,10.749979206,0,4,,1,1,1,,,,,,1
PAK,33.6999959503,73.1666344797,0,4,,1,,,,1,,1,1,
POL,52.2500006298,20.9999995511,0,4,,1,1,1,,,,,,1
ESP,40.4000262645,-3.683351686,0,4,,1,1,1,,,,,,1
UKR,50.433367329,30.5166279691,0,4,1,1,1,1,,,,,,
USA,38.8995493765,-77.0094185808,0,4,,1,,1,1,,,,,1
UZB,41.311701883,69.2949328195,0,4,,,,1,,1,1,1,,
AZE,40.3952720327,49.8622171619,0,5,1,,1,1,,1,1,,,
BGR,42.6833494253,23.3166540107,0,5,1,1,1,1,,,,,,1
FRA,48.8666929312,2.3333353257,0,5,,1,1,1,1,,,,,1
DEU,52.5218186636,13.4015486233,0,5,,1,1,1,1,,,,,1
ITA,41.8959556265,12.4832584215,0,5,,1,1,1,1,,,,,1
KAZ,51.1811253043,71.4277742095,0,5,,1,,1,,1,1,1,,
ROU,44.4333718049,26.099946654,0,5,1,1,1,1,,,,,,1
GBR,51.4999947297,-0.1167218439,0,5,,1,1,1,1,,,,,1
RUS,55.7521641226,37.6155228259,0,6,1,1,1,1,1,,,1,,
TUR,39.9272385855,32.864391641,1,10,1,1,1,1,1,1,1,1,1,1
